,time,latitude,longitude,platform
2185,2023-03-30 11:24:30,-37.67733333333333,17.764,WGSV3-052
2184,2023-03-30 11:39:30,-37.67583333333334,17.756333333333334,WGSV3-052
2183,2023-03-30 11:54:30,-37.674166666666665,17.74866666666667,WGSV3-052
2182,2023-03-30 12:09:30,-37.672000000000004,17.740666666666666,WGSV3-052
2181,2023-03-30 12:24:30,-37.669333333333334,17.733,WGSV3-052
2180,2023-03-30 12:39:30,-37.66683333333334,17.725666666666665,WGSV3-052
2179,2023-03-30 12:54:30,-37.659666666666666,17.721833333333333,WGSV3-052
2178,2023-03-30 13:09:30,-37.6525,17.718166666666665,WGSV3-052
2177,2023-03-30 13:24:30,-37.64433333333333,17.721,WGSV3-052
2176,2023-03-30 13:39:30,-37.6355,17.725666666666665,WGSV3-052
2175,2023-03-30 13:54:30,-37.63133333333334,17.737666666666666,WGSV3-052
2174,2023-03-30 14:09:30,-37.62966666666667,17.749166666666667,WGSV3-052
2173,2023-03-30 14:38:36,-37.63666666666666,17.766833333333334,WGSV3-052
2172,2023-03-30 14:53:36,-37.642,17.7695,WGSV3-052
2171,2023-03-30 15:08:36,-37.6475,17.772499999999997,WGSV3-052
2170,2023-03-30 15:23:36,-37.65233333333333,17.773500000000002,WGSV3-052
2169,2023-03-30 15:38:36,-37.65566666666667,17.771666666666665,WGSV3-052
2168,2023-03-30 15:53:36,-37.65916666666667,17.77,WGSV3-052
2167,2023-03-30 16:08:36,-37.6625,17.768166666666666,WGSV3-052
2166,2023-03-30 16:23:36,-37.66583333333333,17.7665,WGSV3-052
2165,2023-03-30 16:38:36,-37.667833333333334,17.763333333333332,WGSV3-052
2164,2023-03-30 16:53:36,-37.669,17.759666666666664,WGSV3-052
2163,2023-03-30 17:08:36,-37.67016666666667,17.755999999999997,WGSV3-052
2162,2023-03-30 17:23:36,-37.6715,17.752166666666668,WGSV3-052
2161,2023-03-30 17:38:36,-37.67266666666667,17.748333333333335,WGSV3-052
2160,2023-03-30 17:53:36,-37.673,17.744333333333334,WGSV3-052
2159,2023-03-30 18:08:36,-37.67133333333334,17.7395,WGSV3-052
2158,2023-03-30 18:23:36,-37.669666666666664,17.734333333333332,WGSV3-052
2157,2023-03-30 18:52:41,-37.66466666666667,17.7245,WGSV3-052
2156,2023-03-30 19:07:41,-37.658,17.721,WGSV3-052
2155,2023-03-30 19:22:41,-37.65133333333333,17.71783333333333,WGSV3-052
2154,2023-03-30 19:37:41,-37.641666666666666,17.72233333333333,WGSV3-052
2153,2023-03-30 19:52:41,-37.63366666666666,17.73033333333333,WGSV3-052
2152,2023-03-30 20:07:41,-37.629333333333335,17.743499999999997,WGSV3-052
2151,2023-03-30 20:22:41,-37.63133333333334,17.754,WGSV3-052
2150,2023-03-30 20:37:41,-37.63433333333333,17.7635,WGSV3-052
2149,2023-03-30 20:52:41,-37.63916666666667,17.767833333333332,WGSV3-052
2148,2023-03-30 21:07:41,-37.6445,17.770666666666667,WGSV3-052
2147,2023-03-30 21:22:41,-37.65,17.773500000000002,WGSV3-052
2146,2023-03-30 21:37:41,-37.65533333333334,17.771833333333333,WGSV3-052
2145,2023-03-30 21:52:41,-37.660333333333334,17.769166666666667,WGSV3-052
2144,2023-03-30 22:07:41,-37.66566666666667,17.7665,WGSV3-052
2143,2023-03-30 22:22:41,-37.66883333333333,17.759833333333333,WGSV3-052
2142,2023-03-30 22:37:41,-37.67100000000001,17.753,WGSV3-052
2141,2023-03-30 23:06:46,-37.67133333333334,17.738999999999997,WGSV3-052
2140,2023-03-30 23:21:46,-37.66883333333333,17.731333333333335,WGSV3-052
2321,2023-03-30 23:36:46,-37.665,17.724666666666668,WGSV3-052
2320,2023-03-30 23:51:46,-37.657000000000004,17.7205,WGSV3-052
2411,2023-04-01 00:02:11,-37.7045,17.81,WGSV3-052
2410,2023-04-01 00:31:17,-37.71333333333334,17.822333333333333,WGSV3-052
2409,2023-04-01 00:46:17,-37.716499999999996,17.831833333333336,WGSV3-052
2408,2023-04-01 01:01:17,-37.714000000000006,17.842,WGSV3-052
2407,2023-04-01 01:16:17,-37.71066666666666,17.852333333333334,WGSV3-052
2406,2023-04-01 01:31:17,-37.7035,17.85666666666667,WGSV3-052
2405,2023-04-01 01:46:17,-37.696000000000005,17.860666666666667,WGSV3-052
2404,2023-04-01 02:01:17,-37.68983333333333,17.858999999999998,WGSV3-052
2403,2023-04-01 02:16:17,-37.68416666666667,17.855999999999998,WGSV3-052
2402,2023-04-01 02:31:17,-37.6785,17.852833333333333,WGSV3-052
2401,2023-04-01 02:46:17,-37.676500000000004,17.846666666666668,WGSV3-052
2400,2023-04-01 03:01:17,-37.67433333333334,17.840666666666667,WGSV3-052
2399,2023-04-01 03:16:17,-37.6725,17.834666666666667,WGSV3-052
2398,2023-04-01 03:31:17,-37.673,17.829833333333333,WGSV3-052
2397,2023-04-01 03:46:17,-37.674499999999995,17.825,WGSV3-052
2396,2023-04-01 04:01:17,-37.676,17.820333333333334,WGSV3-052
2395,2023-04-01 04:16:17,-37.67766666666667,17.815166666666666,WGSV3-052
